Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,9.996,-46.218,0.0,top
C10,22.0uF,C_1206_3216Metric,0.687582,-49.760353,135.0,top
C11,22.0uF,C_1206_3216Metric,-3.81,-30.654,-90.0,top
C12,2.2uF,C_1206_3216Metric,5.693429,-46.99,45.0,top
C13,100nF,C_0603_1608Metric,8.528,-84.313,-90.0,top
C14,100nF,C_0603_1608Metric,2.679574,-49.030745,135.0,top
C15,100nF,C_0603_1608Metric,6.75,-79.5,-90.0,top
C16,22.0uF,C_1206_3216Metric,4.931429,-60.96,-135.0,top
C17,100nF,C_0603_1608Metric,7.500831,-59.040206,-45.0,top
C18,220pF,C_0402_1005Metric,-1.27,-33.02,90.0,top
C19,220pF,C_0402_1005Metric,5.906,-32.9438,90.0,top
C2,100nF,C_0603_1608Metric,3.014099,-59.926291,45.0,top
C20,220pF,C_0402_1005Metric,6.0,-22.5,90.0,top
C21,220pF,C_0402_1005Metric,-1.27,-22.578,90.0,top
C22,56p,C_0402_1005Metric,3.2258,-79.248,90.0,top
C23,56p,C_0402_1005Metric,-2.3622,-79.248,90.0,top
C24,56p,C_0402_1005Metric,-2.3622,-89.154,-90.0,top
C25,56p,C_0402_1005Metric,3.2258,-89.154,-90.0,top
C28,22.0uF,C_1206_3216Metric,2.9,-75.5,180.0,top
C29,100nF,C_0603_1608Metric,1.518313,-63.076925,0.0,top
C3,22.0uF,C_1206_3216Metric,3.1546,-65.34,180.0,top
C30,2.2nF,C_0402_1005Metric,-3.80511,-64.837568,180.0,top
C31,100nF,C_0603_1608Metric,-1.310836,-64.86047,0.0,top
C32,100nF,C_0603_1608Metric,9.721,-77.218,180.0,top
C33,1uF,C_0805_2012Metric,2.246,-37.518001,90.0,top
C4,22.0uF,C_1206_3216Metric,6.496,-83.484,-90.0,top
C5,22.0uF,C_1206_3216Metric,8.782,-80.342,-90.0,top
C6,100nF,C_0603_1608Metric,-3.81,-26.67,90.0,top
C7,2.2uF,C_1206_3216Metric,9.36787,-58.229453,-45.0,top
C8,100nF,C_0603_1608Metric,-6.2992,-26.416,180.0,top
C9,22.0uF,C_1206_3216Metric,-3.81,-22.686,-90.0,top
D1,"Nexperia PMEG6010CEH,115",D_SOD-123F,-4.269785,-96.718,90.0,top
D10,LED 0402 RED,LED_0402_1005Metric,-18.739,-54.5084,180.0,top
D11,LED 0402 GREEN,LED_0402_1005Metric,-18.7898,-67.4116,180.0,top
D12,LED 0402 RED,LED_0402_1005Metric,-18.7898,-68.326,180.0,top
D13,LED 0402 GREEN,LED_0402_1005Metric,-18.739,-81.1784,180.0,top
D14,LED 0402 RED,LED_0402_1005Metric,-18.739,-82.0928,180.0,top
D15,LED 0402 GREEN,LED_0402_1005Metric,-18.739,-94.9452,180.0,top
D16,LED 0402 RED,LED_0402_1005Metric,-18.739,-95.8596,180.0,top
D17,LED 0402 GREEN,LED_0402_1005Metric,-18.739,-108.6104,180.0,top
D18,LED 0402 RED,LED_0402_1005Metric,-18.739,-109.5248,180.0,top
D2,"Nexperia PMEG6010CEH,115",D_SOD-123F,-4.254,-105.140756,90.0,top
D27,VBUS05L1,VISHAY-LLP1006-2M,-16.354,-6.042314,0.0,bottom
D28,VBUS05L1,VISHAY-LLP1006-2M,-16.354,-33.620263,0.0,bottom
D29,VBUS05L1,VISHAY-LLP1006-2M,-16.354,-19.831288,0.0,bottom
D3,LED 0402 GREEN,LED_0402_1005Metric,-18.7549,-12.2428,180.0,top
D30,VBUS05L1,VISHAY-LLP1006-2M,-16.354,-47.409237,0.0,bottom
D31,VBUS05L1,VISHAY-LLP1006-2M,-16.354,-61.198212,0.0,bottom
D32,VBUS05L1,VISHAY-LLP1006-2M,-16.354,-88.776161,0.0,bottom
D33,VBUS05L1,VISHAY-LLP1006-2M,-16.354,-74.987186,0.0,bottom
